tokens,tags
ORF,O
aspnet_client,O
casino,O
4.8,I-version
3.6.3,B-version
CVE-2010-3646,B-cve id
Forms,B-application
0091,B-version
1.15,B-version
Mandrill,B-application
repository/lib.php,B-file
HDWiki,B-application
do,O
gfxTextRun::GetUserData,B-function
vxveautil.kv_binary_unpack,B-function
Oracle,O
5.1.8-2,I-version
util/doh/runner.html,B-file
JSDependentString::undepend,B-function
FP1,I-version
RC3,I-version
nsSVGFEDiffuseLightingElement::LightPixel,B-function
2nd_gen_i5_i7_SINIT_51.BIN,I-version
3.3.10.5,I-version
Car,I-application
quote,O
repeat,O
RTU,O
Project.ede,B-file
wake_futex_pi,B-function
9.x,B-version
1.438,I-version
CPR9-SR3,O
0.2.1.22,I-version
trivially,O
"+=""",O
6.x-1.20,I-version
CLOSEWAIT,O
CVE-2008-0474,B-cve id
3.4.2048,B-version
Bohio,O
Wikidforum,B-application
ISCreateObject,B-method
VU,B-application
cryptographp.inc.php,O
Trouble,I-application
stable,B-update
2.4.5,I-version
tcp_name_post_XXXXX,B-parameter
Traffic,B-application
CVE-2010-0821,B-cve id
SECURITY,O
loginwindow,O
LB000021,B-hardware
4.6.0.x,B-version
eHealth,B-application
8.13,B-version
6.64,B-version
3.7.5,I-version
VisiWave's,B-vendor
VP-ASP,B-application
media_file,B-parameter
ServiceRegistry/HelpSearch.do,B-file
operation,O
CSCtf37019,O
10.7.3,B-version
CVE-2012-4889,B-cve id
pam_xauth.c,B-file
Board,I-hardware
8.3.7,B-version
8.8.6.2,I-version
_members/index.php,B-file
Gold,B-edition
08.113.0_I35128,B-version
CVE-2007-4415,B-cve id
SFLServer,O
analyzeCurrent,B-function
maincore.php,O
6.2.4,I-version
10.1.92.10,B-version
5.0.677.0,B-version
WebService,B-method
FilterFTP,B-application
smb/app/top-categories-data/,O
JobPost,B-application
17.0.3,I-version
10.3.183.63,I-version
Cookpad,B-vendor
1.22,I-version
buffering,O
gsb/drivers.php,B-file
Driver,I-application
Slide,I-application
squidclamav_check_preview_handler,B-function
5.1.47,I-version
WAP200E,B-version
"Admin/GettingStarted/,",O
8.0.0.10,B-version
3.8.6,I-version
CVE-2012-4160,B-cve id
10.0,B-version
2.conf,B-version
Writer,B-application
TextXtra.x32,B-file
OES2,B-update
11.2.0,I-version
searchStr,B-parameter
20.1,B-version
pppol2tp_xmit,B-function
Asterisk,I-application
sesssetup.c,B-file
1.9.9.4,B-version
CVE-2012-2883,B-cve id
eggBlog,B-application
10.60,I-version
source-address,O
5.07,B-version
application/libraries/api/MY_Comments_Api_Object.php,B-file
2.1.210161,B-version
NG,I-application
afmsg,O
CSCsk44115,O
relationships,O
Twidroyd,B-application
lightcolor,O
8.2(2,I-version
CSCtz04566,O
3308,O
com_allcinevid,O
Infix,B-application
9.00,B-version
Wolf,B-application
CVE-2010-2478,B-cve id
__nfs4_get_acl_uncached,B-function
CVE-2009-3876,B-cve id
Signedness,B-relevant_term
mora,B-application
HMI,I-application
widgets/menu/index.php,B-file
pcAnywhere,B-application
3.1.0,I-version
MM,B-application
log2vis_utf8,B-function
10.1.4.4010,B-version
DBMS_CDC_PUBLISH,O
dom_sid_parse,B-function
esp/editUser.esp,B-file
Writer,O
1.9.15,I-version
JPEG2000,O
request-header,O
fontfile/decompress.c,B-file
7.4.3.32,B-version
294871,O
ESSearchApplication/palette.do,B-file
Moon,I-application
Timed,O
1.0.01,B-version
BGMC,O
Secure,I-vendor
3.5,B-version
CVE-2010-3308,B-cve id
reference,O
underflows,I-relevant_term
automount,O
pure-ftpd,B-application
attachement.php,O
config.c,O
8.20.4.02,I-version
border,O
3.4.x,B-version
Performance,O
NEF,O
Games,O
appcache,O
5.0.4.223524,I-version
templates,O
submitSurvey,B-function
EtherCAT,O
files,I-relevant_term
DatabaseSpy,B-application
do_save_setup,B-function
Sound,B-application
converter.rb,O
Hospital,O
NameError#to_s,B-method
Forge,I-application
Janrain,B-vendor
11.7.700.169,I-version
arch/x86/kernel/cpu/perf_event.c,B-file
5.3.7,I-version
CVE-2012-5277,B-cve id
LaunchHelp.dll,O
CVE-2012-0976,B-cve id
CVE-2005-0995,B-cve id
manage_sql.c,B-file
SfnINSTRING,B-function
2554-29894-A,B-version
AIR,I-application
1100,B-version
20110131,I-version
dsmtca,O
dissect_isakmp,B-function
BookLibrary,O
7.02,I-version
3.1-rc3,I-version
cgi-bin/admin.cgi,B-file
83,B-version
staff/app/common.inc.php,B-file
5.2.1,B-version
6.1.8,I-version
Payment,I-application
VerificationNumber,B-parameter
READLINE,O
net/ipv4/ip_gre.c,B-file
CruxCMS,B-application
2012-34,B-version
EZPX,B-application
CVE-2010-4251,B-cve id
10.1.2.3,B-version
4images,B-application
Extreme,B-version
CTxMemPool::accept,B-method
SSL-VPN,O
diagnostics,O
node-util/www/html/restorer.php,B-file
Selectors,I-application
"bitwise_xor_function),",O
a/html/en/default/om2/omObjectFinder.jsp,B-file
CVE-2013-3335,B-cve id
0x15,B-version
spamass-milter.cpp,B-file
Multi-Processing,B-version
2.29,B-version
E0101P03,B-application
transmitting,O
10.7.3,I-version
1.3.3.4,I-version
ApplicationAware,O
3.0.0.4114,I-version
2.3.7,B-version
X-Confirm-Reading-To,O
4.0.249.89,I-version
OpenGL,O
CR8,I-version
CF14,I-version
PDF-XChange,B-application
CQOle,O
9.6-ESV-R7-P4,I-version
PHPShop,B-application
HP-ChaiSOE/1.0,B-file
HostLogin.asp,O
2.2.2,I-version
MLRE,O
phpCDB,B-application
Enigma2,B-application
DMXReady,B-vendor
4.4.0,I-version
Tivoli,B-vendor
POR,O
allocation-size,O
Sun,B-hardware
0x24,B-version
altered,O
libgif-1.1.0.dll,O
8.2.0,B-version
CVE-2010-3858,B-cve id
CExtDWM::CExtDWM,B-method
15.0.1,B-version
KIES,B-application
zp-core/full-image.php,B-file
Ruby,B-application
10.0.3,I-version
Blog/AboutSomething.txt,B-file
reconnection,O
Packet,B-application
3.0-rc5,I-version
4.36,I-version
0.8.7h,I-version
Object,I-application
sna,O
minutes,O
CVE-2007-1706,B-cve id
photos/index.php,B-file
AneCMS,B-application
GA,B-edition
ihDataArchiver_x64.exe,O
sgepasswd,O
modules/news/archive.php,B-file
virNetMessageFree,B-function
Wastebasket,I-application
3.1.2,B-version
BlockPool,O
cataloged,O
Forward,B-application
news_desc.php,O
lib/db/access.php,B-file
main/php_variables.c,B-file
TreeView2,O
application-switching,O
"6.1(3),",I-version
calendar/managesubscriptions.php,B-file
CVE-2010-4831,B-cve id
20090908.0900,B-version
1.10.5,I-version
sql,I-relevant_term
U3D,B-application
OpenIPMI,B-application
FileSetLock,O
MailUp,B-vendor
3.1.11,I-version
sysName,O
MR8,B-update
ipp.c,O
Labs,O
Asset,B-application
Discussion,I-application
Cyberlink,B-vendor
3.2.2.3,B-version
p4s.exe,O
Containers,B-application
dojox/av/FLAudio.js,B-file
fws/pages-front/onecheckout.php,B-file
sampleRate,O
disclosing,O
4.6.17,I-version
Webwasher,O
2.1.5,I-version
epan/dissectors/packet-rtcp.c,B-file
3.8,I-version
Integration,B-application
OpenVAS,B-application
3D,I-hardware
MobileSafe,B-application
net/dccp/ccids/ccid3.c,B-file
"pr_cmd_read"").",O
system(),O
modules/shoutbox.php,B-file
process_chpw_request,B-function
ya_googlesearch,O
modules/contact/index.php,B-file
update_whosonline_guest,B-function
dom/Text.cpp,B-file
format-number,O
CVE-2013-0608,B-cve id
Homepage,B-application
Privileges,B-relevant_term
4.1-ESV-R6,I-version
9.40.xC10,I-version
purchase,O
nsHTMLSelectElement::SubmitNamesValues,B-function
Glitter,B-application
TheHostingTool,B-application
7000,I-hardware
J300_A02,B-version
CVE-2011-1005,B-cve id
Arcade,I-application
libavcodec/j2k_dwt.c,B-file
Monkeysphere,B-application
qosmod,O
CVE-2011-1484,B-cve id
~/.pypirc,O
4.9.2,I-version
02-00,B-version
context.xml,O
2.6.39.4,I-version
7.x-1.x,B-version
TIPC,O
2.1.13,I-version
admin/code/tce_show_all_questions.php,B-file
NeoInvoice,B-application
20120621,B-version
20.0.2,B-version
0.23.2,I-version
3.1.3S,I-version
add_del_listener,B-function
1.2.7.5,B-version
rx2800,B-version
epan/dissectors/packet-dcp-etsi.c,B-file
make_lockdir_name,B-function
7.0(1)SR4,I-version
hlp,O
JRE/JDK,O
CVE-2006-3078,B-cve id
6.2.8,B-version
0.8.6,B-version
dissect_getaddrsbyname_request,B-function
fixup,O
Lists,O
Loop,I-relevant_term
0.10.8,B-version
8.6(1.5,I-version
10.0.648.133,I-version
application/libraries/api/MY_Checkin_Api_Object.php,B-file
CVE-2007-4804,B-cve id
5.5.36,I-version
8.3.18,I-version
decode_residual_block,B-function
Ananda,B-application
7.26.0,B-version
add_conversation,B-function
lostpw,O
5100,O
3.0.41130.0,I-version
WINS,O
apwaDetail,O
quotas,O
8.5.12,B-version
Fulfillment,I-application
certificate-warning,O
Tienda,B-application
md5crypt,B-application
CVE-2010-3043,B-cve id
Intelligent,B-application
kg_accept_krb5,B-function
wiretap/pcap-common.c,B-file
11.4.0.2,B-version
2.6.37.2,I-version
0.3.6,B-version
Clinical,B-application
iVIEW,B-application
SC,I-application
plugins/visiblehookpoints/index.php,B-file
earlier,I-version
radsecproxy,B-application
CVE-2010-2264,B-cve id
have,O
Download,B-application
httplib,O
mht,O
AtermWR8370N,B-hardware
