token,tag
35862,NUM
2497,NUM
৯২,NUM
বানারীপাড়ায়,LOC
21410,NUM
12/11/1951,TIME
মেলবোর্ণে,LOC
91632,NUM
ধূমপানের,OBJ
সিআইডিতে,ORG
দেশেরবাড়ি,OBJ
ডেস্কভারতে,ORG
হোসেনী দালানের দক্ষিণাংশে,LOC
নীল রাজ্য,LOC
শ্যাডো পাপেট্রি,OBJ
পড়তে,OBJ
সম্মান,OBJ
+৮৮০১৯৪৬৯২৫৩২২,PHN
সহযোগী,ORG
21/06/2004,TIME
১১/১০/২০৪৭,TIME
থ্যাচারের,ORG
পিএসজিতে,ORG
09/06/1986,TIME
১৪-৪-১৮৬৪,TIME
সুকান্ত,PER
৬৪১৫৬,NUM
এলপিজি,OBJ
75746,NUM
শুনেছি,OBJ
আল-হুসাইনি,PER
81802,NUM
গুহাটিতে,LOC
রাফিয়াহ ওয়াব,PER
৭৮৩৯১৯৬১৮,NUM
00:44:02,TIME
আবাই,PER
নিপুনভাবে,OBJ
68237,NUM
31444,NUM
মোহামেডানে,ORG
মৈত্র কাঞ্চন মল্লিক,PER
জাপানী,PER
৫/৭/২০০৪,TIME
+8801593982115,PHN
হিলটন,PER
01/02/1945,TIME
00:30:50,TIME
তাইমোতিও পেরেজ রুবিও,PER
ভানপুরা,LOC
উপকারের,OBJ
11:43:36,TIME
শাসকেরা,OBJ
বন্যপ্রাণীদের,PER
হয়তো,OBJ
শুকাশ,LOC
সেনাদের,ORG
বাহাদুরপুর,LOC
বেলকে,PER
স্কিলের,OBJ
মটের,PER
উধাও,OBJ
রাঙ্গিয়ে,OBJ
বায়ার্ন,ORG
১১/৮/১৮১৯,TIME
সহঅভিনেত্রী,OBJ
কখনো,OBJ
10/06/1916,TIME
বাঙ্গালিরা,PER
নিজামবাদে,LOC
কমিশনারকে,OBJ
কবিরা,PER
শিল্ড,OBJ
ওয়াগাসন,OBJ
+৮৮০১৭১১২৯৯৯১০,PHN
+৮৮০১৩৮৪২৯৩৩৭০,PHN
যথাযথ,OBJ
+8801892557283,PHN
11:03:13,TIME
আশুগন্জে,LOC
কমিউনিস্টরা,PER
সিনিয়রদের,PER
শ্রীনগর বিমানবন্দরে,LOC
মহেন্দ্রপুর,LOC
পশ্চিম ইলিশা,LOC
ড্রেইফাস,PER
ট্রির,PER
ট্রেন,LOC
নোমান,ORG
চিন্তাশীল,OBJ
77396,NUM
২৩/৬/২০৪৬,TIME
চীনা গাড়ি,OBJ
পেঁপেতে,OBJ
ডান,OBJ
+৮৮০১৯৭০৯৯১৬৯১,PHN
বলাঙ্গির,LOC
পশ্চিম ইউক্রেনের,LOC
কয়েদির,OBJ
সাগীর ইমাম বুখারী,PER
যৌনতাহীন,OBJ
বাফেলোর,ORG
মুহাম্মদ তৈয়্যব কাসেমির,PER
বস্তিবাসীর,PER
আরোপ,OBJ
ের,OBJ
শেবাচিম,ORG
নায়েবে,PER
হ্যামলেটসের,LOC
07/01/1987,TIME
স্যাটেলাইট টেলিভিশনের,ORG
মিলকে,ORG
সশস্ত্র বাহিনী মুক্তি বাহিনীর,ORG
34472,NUM
কাহারও,PER
১৩-৩-১৯৬৯,TIME
মানিকগঞ্জসহ,LOC
১৪/১০/২০২৪,TIME
73280,NUM
বানিয়ে,OBJ
আকর্ষণে,OBJ
ত্রুফোর,PER
ক্লার্ককে,PER
85416,NUM
ঘাতকরা,PER
হাটবাইর,LOC
কাদায়,OBJ
খাড়েরা ইউনিয়ন,LOC
আদিবাসী জনগোষ্ঠী,ORG
শাস্তিপ্রাপ্ত,OBJ
নেহাতই,OBJ
থরকে,PER
বেপরোয়া,OBJ
৫৫৭৫৪৪১৭৫,NUM
রিভার,LOC
তেই,PER
আলমগীর পুলিশ কমিশনার,PER
৩৮৮৯৯৩৯,NUM
+৮৮০১৯৫০৩১৪২২৪,PHN
+8801453380655,PHN
সিমিয়ান,LOC
শ্যামনগরের,LOC
দৃষ্টান্ত,OBJ
কাউনাইন,PER
নয়ঘর,LOC
গুরুদয়ল সরকারি কলেজ,ORG
+8801583325459,PHN
শিখ,LOC
মহারাষ্ট্র মধ্য প্রদেশের,LOC
মারের,OBJ
আসনের,OBJ
69820,NUM
দক্ষিণ পূর্ব তোরণ,LOC
মিশেলের,OBJ
৪-৪-১৮১৩,TIME
মিস্চা মায়স্ক্য় লাটভিয়ান,PER
ব্রিজ জুলিয়া রবার্টস,ORG
৪৪৩৯,NUM
খিলগাও,LOC
১৯৩৯৪৮১৯,NUM
1980,NUM
লঙ্কাপুরী,LOC
+8801679422274,PHN
17:19:14,TIME
কাহালুতে,LOC
রডিকের,PER
অপরিচিতা,PER
63988,NUM
21/07/2096,TIME
42398,NUM
+8801493022659,PHN
84677,NUM
+৮৮০১৬০৯৬৮৯০৫৯,PHN
ল্যাম্ব,PER
22/07/1923,TIME
50544,NUM
ভারশো,LOC
টোকায়,LOC
+8801691266162,PHN
+৮৮০১৯৬৬২১০২৩২,PHN
13:53:14,TIME
সঞ্জয়,PER
ছিটা,OBJ
এরদোগানকে,PER
চমকপুর,LOC
বিশপ,OBJ
89071,NUM
বহুব্রীহি,OBJ
বোড়াল গ্রামে,LOC
বহুতল,OBJ
১২-৩-১৯৮৩,TIME
বোঢ়ূঃ,OBJ
জেমস,PER
আফ্রিকা,LOC
7334,NUM
রাতের,TIME
03/06/2010,TIME
ম্যাকমাহনের,PER
বকুল আমাজান লিলি,PER
+৮৮০১৯৭৭২৭৯১০৬,PHN
চার্চের,PER
+8801673901808,PHN
কুমিল্লা সদর,LOC
বেঙ্গালুরু ভারত,LOC
19/08/1957,TIME
+৮৮০১৭৬৩২৮৫২৮৬,PHN
হাসে,OBJ
উইলিয়াম মরো অ্যান্ড কোম্পানি,ORG
এরিনাতে,ORG
04/01/1987,TIME
ইউরোপীয়ান কমিউনিটিস,ORG
24915,NUM
+৮৮০১৮৬০০৬৩১৩২,PHN
18:46:05,TIME
স্রষ্টার,OBJ
36155,NUM
আল্লাহ্‌,PER
৮৬১৬৭৭১,NUM
নিউল্যান্ড,ORG
69851,NUM
শূন্য,OBJ
চ্যালেঞ্জে,OBJ
বাংলাদেশ হাইকোর্ট বেঞ্চ হকের,ORG
আর্মেনিয়ার ইয়েরেভান,LOC
পরিবর্তনই,OBJ
গোপিনীবল্লভ শ্রীকৃষ্ণ,PER
কৃষ্ণনাথ,ORG
৯৭৯১,NUM
তায়িম হাসান মাহমুদ,PER
+8801353795889,PHN
+8801873736547,PHN
৮৩৩,NUM
লুইসার,PER
খায়েরের,PER
+8801884983523,PHN
৬২,NUM
+8801730823557,PHN
29/06/2025,TIME
হানোওয়ার কলেজ,ORG
05:01:21,TIME
30618,NUM
34754,NUM
+৮৮০১৩১৬৫৯৮৮১২,PHN
সোনাল,PER
সৌদি আরব সিঙ্গাপুর,LOC
16/12/2037,TIME
ফ্রেদ্রিক,PER
মধ্যমা,OBJ
51783,NUM
সবসময়ই,OBJ
নওশীন,PER
পূর্বেকার,LOC
পানিয়ারা,LOC
ব্রাউজারটি,OBJ
ইতালিয় ব্যাংক,ORG
22/01/2040,TIME
রেলভবনে,OBJ
42004,NUM
সবুজবাগে,LOC
14/02/1918,TIME
শেয়ারিং,OBJ
+8801626901681,PHN
12/08/2048,TIME
৫৭৬৪৩৪,NUM
94151,NUM
১৬/৪/১৮৯৪,TIME
